location_key,country_name,year,month,quarter,tong_ca_mac_moi,tong_ca_tu_vong,tong_ca_phuc_hoi,tong_xet_nghiem,luy_ke_ca_mac,luy_ke_tu_vong,so_ngay_ghi_nhan,ty_le_tu_vong_pct,ca_mac_tb_ngay,ca_mac_thang_truoc,toc_do_tang_truong_pct,xu_huong_dich
BN,Brunei,2020,1,Q1,0,0,0,0,0,0,31,0,0,,,-- Thang dau --
BN,Brunei,2020,2,Q1,0,0,0,0,0,0,29,0,0,0,,-- Thang dau --
BN,Brunei,2020,3,Q1,131,1,0,0,131,1,31,0.763,4,0,,-- Thang dau --
BN,Brunei,2020,4,Q2,7,0,0,0,138,1,30,0,0,131,-94.7,Suy giam manh (<-20%)
BN,Brunei,2020,5,Q2,3,1,0,0,141,2,31,33.333,0,7,-57.1,Suy giam manh (<-20%)
BN,Brunei,2020,6,Q2,0,1,0,0,141,3,30,0,0,3,-100,Suy giam manh (<-20%)
BN,Brunei,2020,7,Q3,0,0,0,0,141,3,31,0,0,0,,-- Thang dau --
BN,Brunei,2020,8,Q3,3,0,0,0,144,3,31,0,0,0,,-- Thang dau --
BN,Brunei,2020,9,Q3,2,0,0,0,146,3,30,0,0,3,-33.3,Suy giam manh (<-20%)
BN,Brunei,2020,10,Q4,2,0,0,0,148,3,31,0,0,2,0,Di ngang (0%)
BN,Brunei,2020,11,Q4,3,0,0,0,151,3,30,0,0,2,50,Dang tang nhanh (>20%)
BN,Brunei,2020,12,Q4,6,0,0,0,157,3,31,0,0,3,100,Dang tang nhanh (>20%)
BN,Brunei,2021,1,Q1,23,0,0,0,180,3,31,0,1,6,283.3,Bung phat cuc manh (>100%)
BN,Brunei,2021,2,Q1,7,0,0,581,187,3,28,0,0,23,-69.6,Suy giam manh (<-20%)
BN,Brunei,2021,3,Q1,26,0,0,0,213,3,31,0,1,7,271.4,Bung phat cuc manh (>100%)
BN,Brunei,2021,4,Q2,14,0,0,0,227,3,30,0,0,26,-46.2,Suy giam manh (<-20%)
BN,Brunei,2021,5,Q2,17,0,0,0,244,3,31,0,1,14,21.4,Dang tang nhanh (>20%)
BN,Brunei,2021,6,Q2,17,0,0,0,261,3,30,0,1,17,0,Di ngang (0%)
BN,Brunei,2021,7,Q3,77,0,0,0,338,3,31,0,2,17,352.9,Bung phat cuc manh (>100%)
BN,Brunei,2021,8,Q3,2520,13,0,0,2858,16,31,0.516,81,77,3172.7,Bung phat cuc manh (>100%)
BN,Brunei,2021,9,Q3,4468,22,0,0,7326,38,30,0.492,149,2520,77.3,Dang tang nhanh (>20%)
BN,Brunei,2021,10,Q4,5920,20,0,0,13246,58,31,0.338,191,4468,32.5,Dang tang nhanh (>20%)
BN,Brunei,2021,11,Q4,1865,3,0,0,15111,61,30,0.161,62,5920,-68.5,Suy giam manh (<-20%)
BN,Brunei,2021,12,Q4,380,0,0,0,15491,61,31,0,12,1865,-79.6,Suy giam manh (<-20%)
BN,Brunei,2022,1,Q1,1067,1,0,0,16558,62,31,0.094,34,380,180.8,Bung phat cuc manh (>100%)
BN,Brunei,2022,2,Q1,51204,11,0,0,67762,73,28,0.021,1829,1067,4698.9,Bung phat cuc manh (>100%)
BN,Brunei,2022,3,Q1,67153,27,0,0,134915,100,31,0.04,2166,51204,31.1,Dang tang nhanh (>20%)
