location_key,country_name,year,month,quarter,tong_ca_mac_moi,tong_ca_tu_vong,tong_ca_phuc_hoi,tong_xet_nghiem,luy_ke_ca_mac,luy_ke_tu_vong,so_ngay_ghi_nhan,ty_le_tu_vong_pct,ca_mac_tb_ngay,xep_hang
TH,Thái Lan,2020,1,Q1,20,0,0,1070,19,0,31,0,1,1
SG,Singapore,2020,1,Q1,18,0,0,0,18,0,31,0,1,2
MY,Malaysia,2020,1,Q1,12,0,0,260,8,0,31,0,0,3
SG,Singapore,2020,2,Q1,88,0,0,0,106,0,29,0,3,1
TH,Thái Lan,2020,2,Q1,23,0,0,8639,42,0,29,0,1,2
MY,Malaysia,2020,2,Q1,17,0,22,3621,25,0,29,0,1,3
PH,Philippines,2020,3,Q1,4608,413,1253,0,4611,414,31,8.963,149,1
MY,Malaysia,2020,3,Q1,2741,48,514,81787,2766,48,31,1.751,88,2
TH,Thái Lan,2020,3,Q1,1609,10,342,56531,1651,10,31,0.622,52,3
SG,Singapore,2020,4,Q2,16101,13,0,0,17101,16,30,0.081,537,1
PH,Philippines,2020,4,Q2,9209,605,2936,78914,13820,1019,30,6.57,307,2
ID,Indonesia,2020,4,Q2,8590,656,1441,0,10118,792,30,7.637,286,3
SG,Singapore,2020,5,Q2,18191,8,0,0,35292,24,31,0.044,587,1
ID,Indonesia,2020,5,Q2,16355,821,5786,0,26473,1613,31,5.02,528,2
PH,Philippines,2020,5,Q2,12251,414,4436,237973,26071,1433,31,3.379,395,3
ID,Indonesia,2020,6,Q2,29912,1263,17498,0,56385,2876,30,4.222,997,1
PH,Philippines,2020,6,Q2,25514,863,6665,360407,51585,2296,30,3.382,850,2
SG,Singapore,2020,6,Q2,8830,2,0,0,44122,26,30,0.023,294,3
PH,Philippines,2020,7,Q3,76961,1700,16942,768793,128546,3996,31,2.209,2483,1
ID,Indonesia,2020,7,Q3,51991,2255,41101,0,108376,5131,31,4.337,1677,2
SG,Singapore,2020,7,Q3,8390,1,0,0,52512,27,31,0.012,271,3
PH,Philippines,2020,8,Q3,109749,2132,25563,1017208,238295,6128,31,1.943,3540,1
ID,Indonesia,2020,8,Q3,66420,2286,60052,0,174796,7417,31,3.442,2143,2
SG,Singapore,2020,8,Q3,4340,0,0,0,56852,27,31,0,140,3
ID,Indonesia,2020,9,Q3,112212,3323,88988,0,287008,10740,30,2.961,3740,1
PH,Philippines,2020,9,Q3,87199,1871,28413,1073189,325494,7999,30,2.146,2907,2
MM,Myanmar,2020,9,Q3,13388,315,0,105126,14383,321,30,2.353,446,3
ID,Indonesia,2020,10,Q4,123080,3129,122854,0,410088,13869,31,2.542,3970,1
PH,Philippines,2020,10,Q4,62997,1442,29313,1027587,388491,9441,31,2.289,2032,2
MM,Myanmar,2020,10,Q4,39022,937,0,365259,53405,1258,31,2.401,1259,3
ID,Indonesia,2020,11,Q4,128795,3076,112717,0,538883,16945,30,2.388,4293,1
PH,Philippines,2020,11,Q4,46348,1097,21748,894039,434839,10538,30,2.367,1545,2
MM,Myanmar,2020,11,Q4,38784,714,0,504408,92189,1972,30,1.841,1293,3
ID,Indonesia,2020,12,Q4,204315,5193,160579,0,743198,22138,31,2.542,6591,1
MY,Malaysia,2020,12,Q4,47313,111,34182,1227236,113010,471,31,0.235,1526,2
PH,Philippines,2020,12,Q4,42453,921,19973,929690,477292,11459,31,2.169,1369,3
ID,Indonesia,2021,1,Q1,335116,7860,262124,0,1078314,29998,31,2.345,10810,1
MY,Malaysia,2021,1,Q1,101949,289,77108,2290681,214959,760,31,0.283,3289,2
PH,Philippines,2021,1,Q1,56233,1121,20843,1014680,533525,12580,31,1.993,1814,3
ID,Indonesia,2021,2,Q1,256320,6168,269482,0,1334634,36166,28,2.406,9154,1
MY,Malaysia,2021,2,Q1,85793,375,107368,1951989,300752,1135,28,0.437,3064,2
PH,Philippines,2021,2,Q1,55806,955,24498,907116,589331,13535,28,1.711,1993,3
PH,Philippines,2021,3,Q1,205930,2121,43315,1377946,795261,15656,31,1.03,6643,1
ID,Indonesia,2021,3,Q1,177078,4692,205627,764437,1511712,40858,31,2.65,5712,2
MY,Malaysia,2021,3,Q1,44748,137,56207,1702478,345500,1272,31,0.306,1443,3
PH,Philippines,2021,4,Q2,274951,4052,59219,1571601,1070212,19708,30,1.474,9165,1
ID,Indonesia,2021,4,Q2,156656,4663,174304,1317513,1668368,45521,30,2.977,5222,2
MY,Malaysia,2021,4,Q2,63213,234,48356,1977121,408713,1506,30,0.37,2107,3
PH,Philippines,2021,5,Q2,186348,3833,36835,1525652,1256560,23541,31,2.057,6011,1
MY,Malaysia,2021,5,Q2,163644,1290,112058,2938659,572357,2796,31,0.788,5279,2
ID,Indonesia,2021,5,Q2,153335,5057,146485,1439765,1821703,50578,31,3.298,4946,3
ID,Indonesia,2021,6,Q2,356569,7913,211294,2121836,2178272,58491,30,2.219,11886,1
MY,Malaysia,2021,6,Q2,179622,2374,192642,2639855,751979,5170,30,1.322,5987,2
PH,Philippines,2021,6,Q2,179159,3200,29551,1511158,1435719,26741,30,1.786,5972,3
ID,Indonesia,2021,7,Q3,1231386,35628,889679,4550784,3409658,94119,31,2.893,39722,1
MY,Malaysia,2021,7,Q3,361293,3854,231958,3832216,1113272,9024,31,1.067,11655,2
TH,Thái Lan,2021,7,Q3,337986,2834,184441,2002422,597287,4857,31,0.838,10903,3
ID,Indonesia,2021,8,Q3,680143,38904,990405,3646248,4089801,133023,31,5.72,21940,1
MY,Malaysia,2021,8,Q3,632982,7639,547086,4713327,1746254,16663,31,1.207,20419,2
TH,Thái Lan,2021,8,Q3,607442,6732,629852,1767406,1204729,11589,31,1.108,19595,3
PH,Philippines,2021,9,Q3,546082,4761,0,2270631,2549921,38294,30,0.872,18203,1
MY,Malaysia,2021,9,Q3,499441,9669,593100,4138095,2245695,26332,30,1.936,16648,2
TH,Thái Lan,2021,9,Q3,398745,5138,448901,1431711,1603474,16727,30,1.289,13292,3
TH,Thái Lan,2021,10,Q4,308550,2478,321455,1460133,1912024,19205,31,0.803,9953,1
PH,Philippines,2021,10,Q4,237337,4878,0,1674413,2787258,43172,31,2.055,7656,2
MY,Malaysia,2021,10,Q4,225947,2577,319938,3881761,2471642,28909,31,1.141,7289,3
VN,Vi?t Nam,2021,11,Q4,325870,3313,0,6151891,1252590,25448,30,1.017,10862,1
TH,Thái Lan,2021,11,Q4,203848,1566,227300,1329210,2115872,20771,30,0.768,6795,2
MY,Malaysia,2021,11,Q4,161140,1515,162443,3762234,2632782,30424,30,0.94,5371,3
VN,Vi?t Nam,2021,12,Q4,493502,7162,0,4090727,1746092,32610,31,1.451,15919,1
MY,Malaysia,2021,12,Q4,125304,1063,148174,3699883,2758086,31487,31,0.848,4042,2
TH,Thái Lan,2021,12,Q4,107563,927,149066,1127980,2223435,21698,31,0.862,3470,3
PH,Philippines,2022,1,Q1,716303,2499,0,1965724,3560172,54003,31,0.349,23107,1
VN,Vi?t Nam,2022,1,Q1,540658,5167,0,1892555,2286750,37777,31,0.956,17441,2
TH,Thái Lan,2022,1,Q1,217107,475,165556,1705925,2440542,22173,31,0.219,7003,3
VN,Vi?t Nam,2022,2,Q1,1270879,2561,0,889899,3557629,40338,28,0.202,45389,1
ID,Indonesia,2022,2,Q1,1211078,4015,720961,7667576,5564448,148335,28,0.332,43253,2
MY,Malaysia,2022,2,Q1,571978,770,332561,5868124,3442736,32748,28,0.135,20428,3
VN,Vi?t Nam,2022,3,Q1,6093034,2188,0,1206209,9650663,42526,31,0.036,196549,1
MY,Malaysia,2022,3,Q1,759183,2235,843517,5384495,4201919,34983,31,0.294,24490,2
