country_name,year,month,tong_ca_mac_moi,tong_ca_tu_vong,ty_le_tu_vong_pct,ca_mac_tb_ngay
Vi?t Nam,2022,3,6093034,2188,0.036,196549
Indonesia,2021,7,1231386,35628,2.893,39722
Malaysia,2022,3,759183,2235,0.294,24490
Thái Lan,2022,3,736420,2197,0.298,23755
Philippines,2022,1,716303,2499,0.349,23107
Singapore,2022,2,389429,172,0.044,13908
Myanmar,2021,7,145144,6697,4.614,4682
Brunei,2022,3,67153,27,0.04,2166
Lào,2021,12,36920,196,0.531,1191
Campuchia,2021,7,26530,792,2.985,856
Timor-Leste,2021,8,6201,48,0.774,200
